,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
10,m1.84_feh3.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[16871389.384295233, 1679588500.4325285]","[198.14753501618543, 1244.5440544324986]",True,True,matern12,False,5.812708979386256e-05,0.00032013184032553266,m1.84_feh3.0_MLT1.9_fov0.018.gpdict,m1.84_feh3.0_MLT1.9_fov0.018.gpdata
11,m0.87_feh-3.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[90252333.99048097, 15031222439.95621]","[276.65281911768557, 3051.3633855027915]",True,True,matern12,False,6.98470210736948e-05,0.0030965921969426935,m0.87_feh-3.0_MLT1.9_fov0.018.gpdict,m0.87_feh-3.0_MLT1.9_fov0.018.gpdata
12,m1.34_feh4.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[40426982.533649676, 4952341522.5470915]","[303.27817958048917, 1770.4081303697358]",True,True,matern12,False,0.00010190742180744737,0.0035788904371610863,m1.34_feh4.0_MLT1.9_fov0.018.gpdict,m1.34_feh4.0_MLT1.9_fov0.018.gpdata
13,m0.91_feh-3.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[81057246.24627523, 12169370940.429794]","[259.80136643735193, 2969.71253112186]",True,True,matern12,False,6.161412472200881e-05,0.0029406109106618894,m0.91_feh-3.5_MLT1.9_fov0.018.gpdict,m0.91_feh-3.5_MLT1.9_fov0.018.gpdata
14,m1.48_feh-2.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[21193356.54204309, 2331283200.3571186]","[243.71114181721833, 1590.6229159844343]",True,True,matern12,False,0.00017065734702516764,0.00679699716094273,m1.48_feh-2.5_MLT1.9_fov0.018.gpdict,m1.48_feh-2.5_MLT1.9_fov0.018.gpdata
15,m1.56_feh-4.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[16214008.121227197, 1726567533.6723204]","[231.0853367089471, 1767.935961873939]",True,True,matern12,False,0.0004651811308830372,0.014351003920616723,m1.56_feh-4.5_MLT1.9_fov0.018.gpdict,m1.56_feh-4.5_MLT1.9_fov0.018.gpdata
16,m1.16_feh4.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[59406450.96573218, 8409574828.960259]","[274.2542178361241, 2255.4510524724597]",True,True,matern12,False,8.296841918541335e-05,0.005261288866336811,m1.16_feh4.0_MLT1.9_fov0.018.gpdict,m1.16_feh4.0_MLT1.9_fov0.018.gpdata
17,m0.94_feh1.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[96991187.91884786, 15754615925.99151]","[256.3333719554971, 2819.6708332023495]",True,True,matern12,False,1.8353592611311245e-05,0.00018698695452346037,m0.94_feh1.0_MLT1.9_fov0.018.gpdict,m0.94_feh1.0_MLT1.9_fov0.018.gpdata
18,m1.98_feh-3.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[10716444.194900883, 971321783.9891025]","[244.98597881432832, 1636.5024143418952]",True,True,matern12,False,0.0003460202548475418,0.006086573009708274,m1.98_feh-3.0_MLT1.9_fov0.018.gpdict,m1.98_feh-3.0_MLT1.9_fov0.018.gpdata
19,m1.85_feh0.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[14526618.344935574, 1390855149.3493698]","[329.3546442634894, 1430.199536645504]",True,True,matern12,False,0.00019403779200180999,0.011894081128070888,m1.85_feh0.0_MLT1.9_fov0.018.gpdict,m1.85_feh0.0_MLT1.9_fov0.018.gpdata
20,m1.59_feh-1.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[20255544.75090843, 2042067528.2820852]","[202.0878858410575, 1504.700148350742]",True,True,matern12,False,0.00010095029838677658,0.0034329279777172705,m1.59_feh-1.0_MLT1.9_fov0.018.gpdict,m1.59_feh-1.0_MLT1.9_fov0.018.gpdata
21,m1.18_feh-0.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[43474714.30505468, 5883048798.560639]","[261.59111837568946, 2075.000611654973]",True,True,matern12,False,0.00011853107908630126,0.007851829753630302,m1.18_feh-0.5_MLT1.9_fov0.018.gpdict,m1.18_feh-0.5_MLT1.9_fov0.018.gpdata
22,m1.73_feh4.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[20911472.130307328, 2116511296.394966]","[185.81170077854486, 1220.2920199428656]",True,True,matern12,False,0.00022834300044490452,0.0086529504896517,m1.73_feh4.0_MLT1.9_fov0.018.gpdict,m1.73_feh4.0_MLT1.9_fov0.018.gpdata
23,m1.46_feh-3.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[21931586.98272936, 2341479782.0620165]","[250.80607714854253, 1633.6569656391953]",True,True,matern12,False,0.00035018389829808447,0.006470937785270137,m1.46_feh-3.0_MLT1.9_fov0.018.gpdict,m1.46_feh-3.0_MLT1.9_fov0.018.gpdata
24,m1.85_feh4.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[17559530.320394702, 1734084266.9651968]","[223.40246061149162, 1195.0696237423795]",True,True,matern12,False,0.0002864441885412295,0.008146581012948184,m1.85_feh4.0_MLT1.9_fov0.018.gpdict,m1.85_feh4.0_MLT1.9_fov0.018.gpdata
25,m1.71_feh-2.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[15940571.292770237, 1563540724.710984]","[329.23012388977276, 1567.4138602418845]",True,True,matern12,False,0.000160871506200315,0.00410500592906668,m1.71_feh-2.0_MLT1.9_fov0.018.gpdict,m1.71_feh-2.0_MLT1.9_fov0.018.gpdata
