,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
46,m1.16_feh0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[50940685.06994649, 6825606668.289098]","[4847.2232469091205, 6267.443639982864]",True,True,constant + exponential,True,9.322597320226753e-05,0.0007672617412273208,m1.16_feh0.5_MLT1.9_fov0.018.gpdict,m1.16_feh0.5_MLT1.9_fov0.018.gpdata
47,m0.93_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[100507976.3224297, 17243890850.32046]","[4696.035297549459, 5554.227817432371]",True,True,constant + exponential,True,5.280874641709322e-05,0.0004260407225823437,m0.93_feh2.0_MLT1.9_fov0.018.gpdict,m0.93_feh2.0_MLT1.9_fov0.018.gpdata
48,m1.13_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[59183519.44479629, 8356723588.047353]","[4771.640293172796, 6026.788228796571]",True,True,constant + exponential,True,9.770676949791904e-05,0.0008859627833994743,m1.13_feh2.0_MLT1.9_fov0.018.gpdict,m1.13_feh2.0_MLT1.9_fov0.018.gpdata
49,m0.94_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[69844737.49719013, 11258000756.82643]","[4945.256669474735, 6144.443070716796]",True,True,constant + exponential,True,5.590180662583671e-05,0.0006980151201116946,m0.94_feh-3.0_MLT1.9_fov0.018.gpdict,m0.94_feh-3.0_MLT1.9_fov0.018.gpdata
50,m1.12_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[45589456.23512319, 5925739805.56334]","[4996.930731822112, 6604.125206149221]",True,True,constant + exponential,True,0.00010421054780046644,0.001275948001656313,m1.12_feh-3.0_MLT1.9_fov0.018.gpdict,m1.12_feh-3.0_MLT1.9_fov0.018.gpdata
51,m0.92_feh0.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[93401467.86820236, 15393621403.614037]","[4786.241779158173, 5749.910135309571]",True,True,constant + exponential,True,6.520269801775046e-05,0.0008890848116301919,m0.92_feh0.0_MLT1.9_fov0.018.gpdict,m0.92_feh0.0_MLT1.9_fov0.018.gpdata
52,m0.94_feh0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[90696012.1172494, 14897909187.413763]","[4759.0054845002805, 5734.965325716707]",True,True,constant + exponential,True,8.210475532954802e-05,0.000586925868791166,m0.94_feh0.5_MLT1.9_fov0.018.gpdict,m0.94_feh0.5_MLT1.9_fov0.018.gpdata
53,m1.29_feh-3.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[26952895.55578805, 3457420852.2568626]","[5097.3193980696005, 7231.875217111653]",True,True,constant + exponential,True,8.85091777881848e-05,0.0010395108801263264,m1.29_feh-3.5_MLT1.9_fov0.018.gpdict,m1.29_feh-3.5_MLT1.9_fov0.018.gpdata
54,m1.13_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[46218948.18536286, 6001142693.569595]","[4972.277489351238, 6554.5341602103845]",True,True,constant + exponential,True,0.00010200180083672284,0.0010652974464587794,m1.13_feh-2.5_MLT1.9_fov0.018.gpdict,m1.13_feh-2.5_MLT1.9_fov0.018.gpdata
55,m0.95_feh0.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[81246546.11546943, 13673612872.142736]","[4785.947701385445, 5824.987878149488]",True,True,constant + exponential,True,6.151572155480372e-05,0.0002867640081474221,m0.95_feh0.0_MLT1.9_fov0.018.gpdict,m0.95_feh0.0_MLT1.9_fov0.018.gpdata
