,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
28,m1.0_feh-4.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[55929425.98897587, 8013368723.866723]","[3.177869964338282, 4.531798441975249]",True,True,matern12,False,2.772104000837676e-05,0.00020925185681708314,m1.0_feh-4.5_MLT1.9_fov0.018.gpdict,m1.0_feh-4.5_MLT1.9_fov0.018.gpdata
29,m0.91_feh-4.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[72937849.21362008, 11353767682.157766]","[3.1633541406006094, 4.591344641719654]",True,True,matern12,False,1.742700952105041e-05,0.00010001171795903652,m0.91_feh-4.5_MLT1.9_fov0.018.gpdict,m0.91_feh-4.5_MLT1.9_fov0.018.gpdata
30,m1.26_feh3.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[45696096.53529286, 5935651533.426229]","[3.3225797857534936, 4.4208711632745405]",True,True,matern12,False,3.119376944362643e-05,0.00013616892205892128,m1.26_feh3.0_MLT1.9_fov0.018.gpdict,m1.26_feh3.0_MLT1.9_fov0.018.gpdata
31,m1.34_feh4.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[40426982.5336497, 4952341522.547099]","[3.3404774775037893, 4.356580766757463]",True,True,matern12,False,4.692966163607549e-05,0.00024279279348105032,m1.34_feh4.0_MLT1.9_fov0.018.gpdict,m1.34_feh4.0_MLT1.9_fov0.018.gpdata
32,m1.85_feh1.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[15695324.708138062, 1497665721.140417]","[3.3987453666539302, 4.31144066258336]",True,True,matern12,False,0.00010772585163445449,0.0009372635901386817,m1.85_feh1.0_MLT1.9_fov0.018.gpdict,m1.85_feh1.0_MLT1.9_fov0.018.gpdata
33,m0.94_feh5.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[106337016.12280218, 18462926952.90659]","[3.2309295991030447, 4.583247736103544]",True,True,matern12,False,2.3203138154925483e-05,0.0001664509720379348,m0.94_feh5.0_MLT1.9_fov0.018.gpdict,m0.94_feh5.0_MLT1.9_fov0.018.gpdata
34,m1.48_feh-2.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[21193356.54204308, 2331283200.3571177]","[3.228657808957096, 4.372290682882387]",True,True,matern12,False,7.701855892549759e-05,0.0005721445484919707,m1.48_feh-2.5_MLT1.9_fov0.018.gpdict,m1.48_feh-2.5_MLT1.9_fov0.018.gpdata
35,m1.71_feh-2.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[15940571.292770244, 1563540724.7109823]","[3.4129184383809377, 4.386637195555744]",True,True,matern12,False,7.782082560178157e-05,0.0007835571906676941,m1.71_feh-2.0_MLT1.9_fov0.018.gpdict,m1.71_feh-2.0_MLT1.9_fov0.018.gpdata
36,m1.4_feh-2.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[25249525.33181497, 2912704493.527725]","[3.2655457065270515, 4.348722304616151]",True,True,matern12,False,8.27334473557294e-05,0.001428445261388741,m1.4_feh-2.0_MLT1.9_fov0.018.gpdict,m1.4_feh-2.0_MLT1.9_fov0.018.gpdata
37,m0.87_feh-3.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[90252333.99048091, 15031222439.956232]","[3.2247939925582148, 4.6002642642515745]",True,True,matern12,False,1.4813414633774135e-05,4.746681576328626e-05,m0.87_feh-3.0_MLT1.9_fov0.018.gpdict,m0.87_feh-3.0_MLT1.9_fov0.018.gpdata
